Band;FanfictionCount
Frank Iero and the Patience;169
MEJIBRAY;168
B1A4;165
Florence + the Machine;165
GacktJOB;165
A Very Potter Musical Series - Team StarKid;163
Megadeth;161
Sabaton (Band);160
WEi (Korea Band);159
CLC (Band);158
U-KISS;158
The Travelling Wilburys (Band);156
EXID (Band);153
I.O.I (Band);150
火箭少女 | Rocket Girls (Band);149
Hurts (UK Band);148
Lovelyz;148
Nine Inch Nails (Band);148
Afterhours (Band);147
Def Leppard;147
Best Song Ever - One Direction (Music Video);146
LeATHERMØUTH;144
新裤子 | New Pants (Band);143
SCREW (Band);143
D (Band);141
Gloryhammer (Band);137
fromis_9 (Band);136
MIKA (Musician) RPF;135
Versailles (Band);135
Morning Musume.;133
台风少年团 | Typhoon Teens (Band);133
English and Scottish Popular Ballads - Francis James Child;131
Melanie Martinez (Musician);131
HIM (Band);130
Placebo (UK Band);130
UNB (Band);129
V6 (Band);128
Pearl Jam;127
The Rose (Band);126
TOKIO (Japan Band);126
Gugudan (Band);125
易安音乐社 | Yi An Musical (Band);123
Midwest Kings;122
Miss A;122
Show Me the Money (Korea TV);122
X Factor (UK) RPF;122
The Vamps (UK Band);121
Demi Lovato (Musician);120
A Pink (Band);118
Bob Dylan (Musician);118
Falling in Reverse;118
Kagrra;117
Marianas Trench (Band);117
LUNA SEA;116
MBLAQ;116
Set It Off (Band);116
Morrissey (Musician) RPF;114
IU (Musician);112
Radiohead (Band);112
Alice in Chains;111
时之歌 | Song of Time Project;111
Teen Top (Band);109
The Kinks (Band);107
Nogizaka46 (Band);107
Why Don't We (Band);107
Initial'L (Band);106
Breaking Benjamin (Band);105
Repugnant (Band);105
H.O.T. (Band);104
Jay Park (Musician);104
Murderdolls (Band);104
Of Mice & Men (Band);104
TO1 | TOgether as 1 (Band);104
Country Music RPF;103
Empires (Band);103
STARSET (Band);103
Tegan and Sara (Band);102
Triple H (Korea Band);102
X 玖少年团 | X-NINE (Band);102
Urban Strangers (Band);101
Johnny's WEST;100
Panik (Band);100
Buzz (Korea Band);99
